participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.choice_1,player.choice_2,player.choice_3,player.choice_4,player.choice_5,player.choice_6,player.choice_7,player.choice_8,player.choice_9,player.choice_10,player.random_draw,player.choice_to_pay,player.option_to_pay,player.inconsistent,player.switching_row,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
10,4cpwknpa,,0,390,390,finalpage,1,MyPage,147.156.150.22,2018-12-04 09:02:18.763854+00:00,1,,,30,10,A,A,A,A,A,A,A,A,A,A,6,choice_4,A,0,11,5,1,1,6qotbpzp,,,,,,0
11,c053nvw1,,0,390,390,finalpage,1,MyPage,147.156.150.32,2018-12-04 09:02:31.809423+00:00,1,,,107,11,A,A,A,A,A,A,B,B,B,B,3,choice_2,A,0,7,5,1,1,6qotbpzp,,,,,,0
12,2beqn8vm,,0,390,390,finalpage,1,MyPage,147.156.150.23,2018-12-04 09:02:46.330093+00:00,1,,,83,12,A,A,A,A,A,A,B,B,B,B,1,choice_4,A,0,7,6,1,1,6qotbpzp,,,,,,0
13,2uhr3jm0,,0,390,390,finalpage,1,MyPage,147.156.150.26,2018-12-04 09:03:05.273582+00:00,1,,,37,13,A,A,A,A,B,B,B,B,B,B,1,choice_9,B,0,5,10,1,1,6qotbpzp,,,,,,0
14,q37idchh,,0,390,390,finalpage,1,MyPage,147.156.150.37,2018-12-04 09:03:17.179445+00:00,1,,,81,14,A,A,A,A,B,B,B,B,B,B,2,choice_3,A,0,5,6,1,1,6qotbpzp,,,,,,0
15,pw9n4il1,,0,390,390,finalpage,1,MyPage,147.156.150.27,2018-12-04 09:03:29.597161+00:00,1,,,83,15,A,A,A,A,B,B,B,B,B,B,1,choice_1,A,0,5,6,1,1,6qotbpzp,,,,,,0
16,h6xafewl,,0,390,390,finalpage,1,MyPage,147.156.150.38,2018-12-04 09:03:43.061668+00:00,1,,,110,16,A,A,A,A,A,B,B,B,B,B,2,choice_9,B,0,6,10,1,1,6qotbpzp,,,,,,0
1,p5she7s7,,0,390,390,finalpage,1,MyPage,147.156.150.6,2018-12-04 16:04:46.377602+00:00,1,,,81,1,A,B,B,B,B,B,B,B,B,B,7,choice_4,B,0,2,1,1,1,ts85e0ig,,,,,,0
2,eanoup2w,,0,390,390,finalpage,1,MyPage,147.156.150.10,2018-12-04 16:04:58.162202+00:00,1,,,83,2,A,A,A,A,A,A,A,A,B,B,2,choice_2,A,0,9,6,1,1,ts85e0ig,,,,,,0
3,h730angf,,0,390,390,finalpage,1,MyPage,147.156.150.12,2018-12-04 16:05:09.647795+00:00,1,,,80,3,A,A,A,A,A,B,B,B,B,B,8,choice_7,B,0,6,1,1,1,ts85e0ig,,,,,,0
4,w8xrk891,,0,390,390,finalpage,1,MyPage,147.156.150.14,2018-12-04 16:05:22.890126+00:00,1,,,89,4,A,A,A,A,A,B,B,B,B,B,8,choice_3,A,0,6,5,1,1,ts85e0ig,,,,,,0
5,rwgolrsr,,0,390,390,finalpage,1,MyPage,147.156.150.15,2018-12-04 16:05:50.405490+00:00,1,,,36,5,A,A,A,B,B,B,B,B,B,B,7,choice_1,A,0,4,5,1,1,ts85e0ig,,,,,,0
6,5zof5ulm,,0,390,390,finalpage,1,MyPage,147.156.150.17,2018-12-04 16:06:02.803263+00:00,1,,,81,6,A,A,A,A,A,A,A,A,A,B,4,choice_4,A,0,10,6,1,1,ts85e0ig,,,,,,0
7,hhwn7mxg,,0,390,390,finalpage,1,MyPage,147.156.150.19,2018-12-04 16:06:15.727622+00:00,1,,,83,7,B,B,B,B,B,B,B,B,B,B,9,choice_8,B,0,1,1,1,1,ts85e0ig,,,,,,0
8,igeff5f8,,0,390,390,finalpage,1,MyPage,147.156.150.25,2018-12-04 16:06:28.603731+00:00,1,,,170,8,A,A,A,A,A,B,B,B,B,B,3,choice_4,A,0,6,6,1,1,ts85e0ig,,,,,,0
9,nk4pav56,,0,390,390,finalpage,1,MyPage,147.156.150.33,2018-12-04 16:06:49.406465+00:00,1,,,47,9,A,A,A,A,B,B,B,B,B,B,8,choice_1,A,0,5,5,1,1,ts85e0ig,,,,,,0
10,vxkcs5vz,,0,390,390,finalpage,1,MyPage,147.156.150.22,2018-12-04 16:07:00.909463+00:00,1,,,94,10,A,A,A,A,A,A,A,B,B,B,4,choice_8,B,0,8,10,1,1,ts85e0ig,,,,,,0
11,a4dxpwrb,,0,390,390,finalpage,1,MyPage,147.156.150.32,2018-12-04 16:07:13.772778+00:00,1,,,89,11,A,A,A,A,B,B,B,B,B,B,7,choice_2,A,0,5,5,1,1,ts85e0ig,,,,,,0
12,0to4g86v,,0,390,390,finalpage,1,MyPage,147.156.150.23,2018-12-04 16:07:27.643452+00:00,1,,,171,12,A,A,A,A,B,B,B,B,B,B,7,choice_3,A,0,5,5,1,1,ts85e0ig,,,,,,0
13,zv227knm,,0,390,390,finalpage,1,MyPage,147.156.150.26,2018-12-04 16:08:19.012015+00:00,1,,,35,13,A,A,A,A,A,A,A,A,B,B,3,choice_5,A,0,9,6,1,1,ts85e0ig,,,,,,0
14,1ytml32p,,0,390,390,finalpage,1,MyPage,147.156.150.37,2018-12-04 16:08:56.952445+00:00,1,,,81,14,A,A,B,B,B,B,B,B,B,B,8,choice_4,B,0,3,1,1,1,ts85e0ig,,,,,,0
15,s9zwvpl4,,0,390,390,finalpage,1,MyPage,147.156.150.27,2018-12-04 16:09:08.225879+00:00,1,,,81,15,A,A,A,A,A,B,B,B,B,B,1,choice_2,A,0,6,6,1,1,ts85e0ig,,,,,,0
16,tz7xab1q,,0,390,390,finalpage,1,MyPage,147.156.150.38,2018-12-04 16:09:18.892772+00:00,1,,,165,16,A,A,A,A,A,A,B,B,B,B,5,choice_1,A,0,7,5,1,1,ts85e0ig,,,,,,0
